from,to,relationship
uvdl,CDU,1
lk,SPD,1
nr,CDU,1
sw,DieLinke,1
cs,Juristin,2
cl,FDP,1
cm,SWP,2
ks,Historiker,2
lm,Wissenschaftlerin,2
kd,Redakteurin,2
el,Präsident,2
ab,Bündnis90,1
ft,Vizepräsident,2
am,Botschafter,2
agl,FDP,1
er,General,2
rh,Bündnis90,1
kp,Schriftstellerin,2
rk,CDU,1
